% Model:              broken_cubic_case.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 15 2024, 13:37
% Dimension:          1
% Nodes:              97
% Expressions:        1
% Description:        Global
% freq (Hz)               Value
80                        1.8474950998479366E-4
100                       3.354920479134194E-4
120                       6.127978175536624E-4
140                       0.0011375002677618338
160                       0.002140829538143747
180                       0.004061839413502148
200                       0.007730111461981667
220                       0.01469258403868025
240                       0.027724059927725222
260                       0.05133111035846728
280                       0.09120416980604683
300                       0.15022315838576245
320                       0.22102401194445934
340                       0.28580228116403905
360                       0.3307918039655074
380                       0.35591492265512925
400                       0.36848650972834207
420                       0.3752542254357895
440                       0.3801203774896191
460                       0.38477835695230367
480                       0.3897260443507573
500                       0.39499465462440253
520                       0.40058331787936236
540                       0.40666436994752125
560                       0.41361671235157005
580                       0.4219547431614255
600                       0.4322225409237887
620                       0.44490207486037825
640                       0.46035547481034395
660                       0.4788021512251131
680                       0.5003240995228287
700                       0.5248903777893883
720                       0.5523899836598696
740                       0.5826617763571608
760                       0.615512419090469
780                       0.6507179419247949
800                       0.6880093986707636
820                       0.7270472036186196
840                       0.7673923014908741
860                       0.8084849494330286
880                       0.8496416903414135
900                       0.890076410395411
920                       0.928943327254007
940                       0.9653924953871678
960                       0.9986260051071961
980                       1.027945931503335
1000                      1.0527899255183544
1020                      1.0727535373427592
1040                      1.0875994149744546
1060                      1.09725474120832
1080                      1.101801611907798
1100                      1.1014695551228357
1120                      1.096641495302445
1140                      1.0878804670833018
1160                      1.075972977733572
1180                      1.0619689303572049
1200                      1.0471848128317751
1220                      1.0331362249301081
1240                      1.0213844365333817
1260                      1.0133165458176587
1280                      1.0099152894997787
1300                      1.0115923761409233
1320                      1.018144160628908
1340                      1.0288435177551267
1360                      1.0426292587502044
1380                      1.0583232661514643
1400                      1.074810171546134
1420                      1.0911452642617148
1440                      1.1065907544780564
1460                      1.120601544495909
1480                      1.132786307305943
1500                      1.1428643164995016
1520                      1.1506304725207297
1540                      1.155934209240443
1560                      1.1586730616761172
1580                      1.1587980358085248
1600                      1.1563252615018778
1620                      1.1513470987735623
1640                      1.1440364566492938
1660                      1.1346406294347255
1680                      1.1234646593232045
1700                      1.1108476862461243
1720                      1.0971376472027226
1740                      1.0826695361015726
1760                      1.0677506783641857
1780                      1.0526541021079876
1800                      1.037619053536618
1820                      1.0228565576834876
1840                      1.0085577451016237
1860                      0.9949031793050468
1880                      0.9820721879440117
1900                      0.9702517795111387
1920                      0.9596447705471935
1940                      0.9504759856773898
1960                      0.9429935383495868
1980                      0.9374590613422271
2000                      0.9341170487300572
