% Model:              cubic_case.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 15 2024, 12:01
% Dimension:          1
% Nodes:              97
% Expressions:        1
% Description:        Global
% freq (Hz)               \sigma_spherical, 
80                        0.010480313623350689
100                       0.016335057779050654
120                       0.023501143856133565
140                       0.03199399214150284
160                       0.041819488809694126
180                       0.052965330329755735
200                       0.06539397261517228
220                       0.07903958289130006
240                       0.09381116456997524
260                       0.10960267503665315
280                       0.126308735506283
300                       0.1438422295413918
320                       0.16214877418481988
340                       0.18121346819947035
360                       0.20105739798719874
380                       0.22172427353317517
400                       0.24326022279605652
420                       0.2656914819913734
440                       0.2890052566287665
460                       0.3131384404726149
480                       0.33797725567650644
500                       0.36336837150974605
520                       0.3891391107812997
540                       0.41512179841350905
560                       0.4411761217753634
580                       0.4672041238463959
600                       0.49315486903616396
620                       0.5190188927924168
640                       0.5448150832808327
660                       0.5705739070635996
680                       0.5963208315094922
700                       0.6220628626133519
720                       0.647779879833736
740                       0.6734213264722588
760                       0.6989079845471151
780                       0.7241380246676441
800                       0.748996184541579
820                       0.773364696266026
840                       0.7971344016164835
860                       0.8202143988576468
880                       0.8425386664239337
900                       0.8640685320249988
920                       0.8847906252062095
940                       0.9047109138594599
960                       0.9238462839229068
980                       0.9422155782288871
1000                      0.9598319258150223
1020                      0.9766976498368576
1040                      0.9928022790690714
1060                      1.008123463501373
1080                      1.0226300813183886
1100                      1.0362865804582626
1120                      1.049057597586511
1140                      1.0609120753332897
1160                      1.071826375915751
1180                      1.0817861846971042
1200                      1.0907872389497237
1220                      1.0988350600913819
1240                      1.1059439085829919
1260                      1.1121351577223602
1280                      1.1174352564497163
1300                      1.1218734685235598
1320                      1.1254796415581476
1340                      1.1282823325546874
1360                      1.1303076297881918
1380                      1.131578918796479
1400                      1.1321176450839656
1420                      1.1319448856015817
1440                      1.1310833376482232
1460                      1.1295592372953025
1480                      1.1274037539972208
1500                      1.124653551396153
1520                      1.1213504026496766
1540                      1.1175399459914912
1560                      1.1132698225741902
1580                      1.1085875349487662
1600                      1.1035383959292335
1620                      1.0981639071534377
1640                      1.0925008227581972
1660                      1.086581031574101
1680                      1.0804322524819057
1700                      1.0740794058298984
1720                      1.0675464194237303
1740                      1.0608581640362054
1760                      1.0540421982777537
1780                      1.047130036551803
1800                      1.0401577325737794
1820                      1.033165682715238
1840                      1.0261976796804793
1860                      1.019299365549948
1880                      1.01251632238402
1900                      1.0058920830502787
1920                      0.9994663386655502
1940                      0.993273565831752
1960                      0.9873422100290098
1980                      0.9816944603994653
2000                      0.976346557334612
