% Model:              half_cubic_case.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 18 2024, 12:55
% Dimension:          1
% Nodes:              97
% Expressions:        1
% Description:        Global
% freq (Hz)               \sigma_spherical, 
80                        0.013849034177379862
100                       0.020171762145355623
120                       0.02699552025668171
140                       0.034233470479187136
160                       0.041921495921337835
180                       0.05019522344082439
200                       0.059270589904704546
220                       0.06942972921789957
240                       0.08100825223645383
260                       0.09437621387133976
280                       0.10990288414653518
300                       0.12789631219064246
320                       0.14851626102130222
340                       0.17167686323093204
360                       0.19697965150272514
380                       0.2237302812550475
400                       0.25106775774327744
420                       0.2781715355435171
440                       0.30445449698740723
460                       0.3296541686783074
480                       0.3537997502716905
500                       0.37710011535861326
520                       0.3998205082494477
540                       0.4221964462423619
560                       0.44440116930334705
580                       0.4665579818667166
600                       0.488776000861581
620                       0.5111857375998142
640                       0.533956924123875
660                       0.5572910626750956
680                       0.5813906148174358
700                       0.6064127620742176
720                       0.6324188156358059
740                       0.6593326603941924
760                       0.686923172780139
780                       0.714822913525186
800                       0.7425844325315324
820                       0.7697578374208818
840                       0.795959708567647
860                       0.8209069187741206
880                       0.8444104245982885
900                       0.8663482990573674
920                       0.8866457164130308
940                       0.9052775002167815
960                       0.9222878694702725
980                       0.9378086180043947
1000                      0.9520589302977351
1020                      0.965322428559314
1040                      0.9779090091386826
1060                      0.9901135294642007
1080                      1.0021808247752884
1100                      1.0142813045855419
1120                      1.0264973092597063
1140                      1.0388188050197311
1160                      1.051147322137631
1180                      1.0633080311160288
1200                      1.0750701582009863
1220                      1.0861746585627534
1240                      1.0963655347215697
1260                      1.105419284552707
1280                      1.1131676273988877
1300                      1.1195115385584722
1320                      1.1244270027421532
1340                      1.127962847162002
1360                      1.1302298909844684
1380                      1.1313812918999042
1400                      1.1315869706130828
1420                      1.1310079779026714
1440                      1.1297770984366364
1460                      1.1279895556183834
1480                      1.1257039817656047
1500                      1.122950650361572
1520                      1.1197423790785948
1540                      1.1160837932083847
1560                      1.1119764973122805
1580                      1.1074202985013744
1600                      1.1024127620680677
1620                      1.0969500361345268
1640                      1.0910307836093502
1660                      1.0846628893177688
1680                      1.0778706432806273
1700                      1.0706994353535295
1720                      1.0632158791792135
1740                      1.055503087243571
1760                      1.047652605811566
1780                      1.0397555759938213
1800                      1.0318956953635585
1820                      1.0241455933307189
1840                      1.0165667648480023
1860                      1.0092118974789042
1880                      1.0021278169174106
1900                      0.995357523374201
1920                      0.9889406370137255
1940                      0.9829125118796713
1960                      0.977302850526231
1980                      0.9721346710289842
2000                      0.967424081056056
