% Model:              half_cubic_case.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 15 2024, 13:44
% Dimension:          1
% Nodes:              97
% Expressions:        1
% Description:        Global
% freq (Hz)               \sigma_spherical, 
80                        0.014109786110666038
100                       0.023193303119966896
120                       0.03412683207380821
140                       0.04674071194050703
160                       0.06088022234227964
180                       0.07639606020702262
200                       0.09314042763688962
220                       0.11096719575302884
240                       0.12973365927725453
260                       0.1493025670093339
280                       0.16954390655312288
300                       0.1903362898274613
320                       0.21156792908854918
340                       0.2331372406353531
360                       0.25495312556986716
380                       0.27693497792034333
400                       0.29901246823370237
420                       0.321125147623442
440                       0.3432219136086909
460                       0.3652603749365802
480                       0.38720614802210895
500                       0.4090321128355545
520                       0.43071765122915534
540                       0.4522478860254725
560                       0.4736129348580981
580                       0.49480718886926667
600                       0.5158286229987806
620                       0.5366781417611195
640                       0.5573589620966753
660                       0.5778760330657985
680                       0.5982354907882119
700                       0.61844414606822
720                       0.6385090015400482
740                       0.6584367948786286
760                       0.6782335646055019
780                       0.6979042352597113
800                       0.7174522191649627
820                       0.7368790327035499
840                       0.7561839258856624
860                       0.7753635250767009
880                       0.7944114900059599
900                       0.8133181876151386
920                       0.8320703869007736
940                       0.850650980623719
960                       0.8690387415631224
980                       0.8872081228102645
1000                      0.905129113338309
1020                      0.9227671616297152
1040                      0.9400831813445122
1060                      0.9570336536974178
1080                      0.973570841184235
1100                      0.989643126360905
1120                      1.0051954873390927
1140                      1.0201701183677996
1160                      1.0345071992287305
1180                      1.0481458111877726
1200                      1.061024990050739
1220                      1.0730848987408579
1240                      1.0842680931993138
1260                      1.0945208468922314
1280                      1.1037944915108047
1300                      1.1120467253479442
1320                      1.119242837093115
1340                      1.125356792047762
1360                      1.1303721304734387
1380                      1.1342826340770364
1400                      1.1370927263070973
1420                      1.1388175846017896
1440                      1.139482957103402
1460                      1.139124691494218
1480                      1.1377879982864032
1500                      1.1355264839079047
1520                      1.1324009992554045
1540                      1.1284783563104748
1560                      1.1238299685814406
1580                      1.1185304705656571
1600                      1.1126563674980159
1620                      1.1062847599993435
1640                      1.0994921796777564
1660                      1.0923535621290987
1680                      1.0849413739698386
1700                      1.0773249012241295
1720                      1.0695696981349216
1740                      1.0617371886436349
1760                      1.0538844075666938
1780                      1.0460638649244585
1800                      1.0383235148471415
1820                      1.0307068098093324
1840                      1.0232528213931902
1860                      1.0159964100903454
1880                      1.0089684285675249
1900                      1.002195945107725
1920                      0.9957024763873766
1940                      0.9895082211964317
1960                      0.9836302890135145
1980                      0.9780829194182153
2000                      0.9728776900914753
