% Model:              spherical_case.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 15 2024, 13:19
% Dimension:          1
% Nodes:              97
% Expressions:        1
% Description:        Global
% freq (Hz)               \sigma_spherical, 
80                        0.008350694182824114
100                       0.013987673062689623
120                       0.020907720909281943
140                       0.029072063341532967
160                       0.038446897856529834
180                       0.04900118753262064
200                       0.060703879169014055
220                       0.07352246472303231
240                       0.087422429537275
260                       0.10236711335037534
280                       0.11831773678514866
300                       0.13523348946331193
320                       0.15307164216397345
340                       0.17178767137068582
360                       0.19133539310267644
380                       0.2116671049650564
400                       0.23273373535830166
420                       0.25448499839055155
440                       0.2768695527297492
460                       0.29983516250446257
480                       0.3233288583803472
500                       0.34729709705443046
520                       0.3716859175811781
540                       0.39644109314616516
560                       0.4215082771192023
580                       0.44683314243934885
600                       0.4723615136039836
620                       0.49803949074959486
640                       0.5238135655204003
660                       0.5496307286205881
680                       0.5754385691345595
700                       0.6011853658761892
720                       0.6268201711897743
740                       0.6522928877721479
760                       0.6775543392146196
780                       0.7025563350747772
800                       0.7272517313799811
820                       0.7515944875361483
840                       0.7755397206661512
860                       0.7990437584315024
880                       0.8220641913983181
900                       0.8445599259927239
920                       0.8664912390543611
940                       0.8878198349348945
960                       0.9085089060066297
980                       0.9285231973404041
1000                      0.9478290761856081
1020                      0.9663946067373007
1040                      0.9841896305078819
1060                      1.0011858524356163
1080                      1.0173569326603062
1100                      1.032678583681736
1120                      1.0471286723900233
1140                      1.0606873262250829
1160                      1.0733370424865893
1180                      1.0850627995826732
1200                      1.0958521687796072
1220                      1.1056954248019903
1240                      1.1145856534392873
1260                      1.1225188541467486
1280                      1.1294940354920744
1300                      1.1355133012015455
1320                      1.1405819245040931
1340                      1.144708408466346
1360                      1.1479045300581052
1380                      1.150185365790136
1400                      1.1515692969257139
1420                      1.1520779924830087
1440                      1.1517363685171083
1460                      1.1505725224919727
1480                      1.1486176419201855
1500                      1.145905886853545
1520                      1.142474246241476
1540                      1.1383623686260742
1560                      1.1336123681018004
1580                      1.1282686069205576
1600                      1.122377456558277
1620                      1.1159870394640972
1640                      1.1091469540767447
1660                      1.1019079860038274
1680                      1.094321808511006
1700                      1.086440675651849
1720                      1.0783171114805947
1740                      1.070003598828487
1760                      1.0615522710887095
1780                      1.0530146103478575
1800                      1.0444411550294963
1820                      1.0358812199823126
1840                      1.0273826316625871
1860                      1.0189914807347027
1880                      1.010751894058156
1900                      1.0027058276524983
1920                      0.9948928818458461
1940                      0.9873501394277742
1960                      0.9801120272526379
1980                      0.9732102013843915
2000                      0.966673455544952
